year,month,island,Rec Visitors Ashore,Overnight Stays,Rec Overnight Boats,Rec Visitors on Boats,date
2000,12,Santa Rosa,25,19,NA,NA,2000-12-01
2001,1,Anacapa,307,5,NA,NA,2001-01-01
2001,1,Santa Barbara,32,0,NA,NA,2001-01-01
2001,1,San Miguel,0,0,NA,NA,2001-01-01
2001,1,Santa Cruz,276,77,NA,NA,2001-01-01
2001,1,Isthmus,42,0,NA,NA,2001-01-01
2001,1,Santa Rosa,10,10,NA,NA,2001-01-01
2001,2,Anacapa,561,20,NA,NA,2001-02-01
2001,2,Santa Barbara,0,0,NA,NA,2001-02-01
2001,2,San Miguel,2,0,NA,NA,2001-02-01
2001,2,Santa Cruz,250,103,NA,NA,2001-02-01
2001,2,Isthmus,20,0,NA,NA,2001-02-01
2001,2,Santa Rosa,0,0,NA,NA,2001-02-01
2001,3,Anacapa,1303,54,NA,NA,2001-03-01
2001,3,Santa Barbara,7,0,NA,NA,2001-03-01
2001,3,San Miguel,0,0,NA,NA,2001-03-01
2001,3,Santa Cruz,857,195,NA,NA,2001-03-01
2001,3,Isthmus,30,0,NA,NA,2001-03-01
2001,3,Santa Rosa,73,37,NA,NA,2001-03-01
2001,4,Anacapa,1982,36,NA,NA,2001-04-01
2001,4,Santa Barbara,95,38,NA,NA,2001-04-01
2001,4,San Miguel,71,0,NA,NA,2001-04-01
2001,4,Santa Cruz,1898,0,NA,NA,2001-04-01
2001,4,Isthmus,167,0,NA,NA,2001-04-01
2001,4,Santa Rosa,111,64,NA,NA,2001-04-01
2001,5,Anacapa,3283,114,NA,NA,2001-05-01
2001,5,Santa Barbara,68,0,NA,NA,2001-05-01
2001,5,San Miguel,241,57,NA,NA,2001-05-01
2001,5,Santa Cruz,1881,974,NA,NA,2001-05-01
2001,5,Isthmus,169,0,NA,NA,2001-05-01
2001,5,Santa Rosa,136,92,NA,NA,2001-05-01
2001,6,Anacapa,1807,88,NA,NA,2001-06-01
2001,6,Santa Barbara,248,158,NA,NA,2001-06-01
2001,6,San Miguel,84,0,NA,NA,2001-06-01
2001,6,Santa Cruz,2953,996,NA,NA,2001-06-01
2001,6,Isthmus,0,0,NA,NA,2001-06-01
2001,6,Santa Rosa,172,103,NA,NA,2001-06-01
2001,7,Anacapa,2095,132,NA,NA,2001-07-01
2001,7,Santa Barbara,241,67,NA,NA,2001-07-01
2001,7,San Miguel,234,69,NA,NA,2001-07-01
2001,7,Santa Cruz,2735,1113,NA,NA,2001-07-01
