park_code,report_date,year,month,island,measure,monthly_value,same_month_prior_year,percent_change,calendar_ytd,prior_calendar_ytd,ytd_percent_change,fiscal_ytd,row_type,source_file,source_report_url
CHIS,1995-05-01,1995,5,Santa Cruz,Overnight Stays,286,,0,573,,0,573,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Isthmus,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Isthmus,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Santa Rosa,Rec Visitors Ashore,228,,0,685,,0,685,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-05-01,1995,5,Santa Rosa,Overnight Stays,109,,0,414,,0,414,island,CHIS_island_report_1995_05.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Anacapa,Rec Visitors Ashore,1748,,0,7080,,0,7080,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Anacapa,Overnight Stays,129,,0,505,,0,505,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Santa Barbara,Rec Visitors Ashore,202,,0,460,,0,460,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Santa Barbara,Overnight Stays,124,,0,145,,0,145,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,San Miguel,Rec Visitors Ashore,145,,0,494,,0,494,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,San Miguel,Overnight Stays,48,,0,166,,0,166,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Santa Cruz,Rec Visitors Ashore,997,,0,3726,,0,3726,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Santa Cruz,Overnight Stays,273,,0,846,,0,846,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Isthmus,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Isthmus,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Santa Rosa,Rec Visitors Ashore,134,,0,819,,0,819,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-06-01,1995,6,Santa Rosa,Overnight Stays,67,,0,481,,0,481,island,CHIS_island_report_1995_06.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Anacapa,Rec Visitors Ashore,2447,,0,9527,,0,9527,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Anacapa,Overnight Stays,182,,0,687,,0,687,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Santa Barbara,Rec Visitors Ashore,338,,0,798,,0,798,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Santa Barbara,Overnight Stays,64,,0,209,,0,209,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,San Miguel,Rec Visitors Ashore,269,,0,763,,0,763,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,San Miguel,Overnight Stays,122,,0,288,,0,288,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Santa Cruz,Rec Visitors Ashore,1528,,0,5254,,0,5254,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Santa Cruz,Overnight Stays,280,,0,1126,,0,1126,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Isthmus,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Isthmus,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Santa Rosa,Rec Visitors Ashore,623,,0,1442,,0,1442,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-07-01,1995,7,Santa Rosa,Overnight Stays,417,,0,898,,0,898,island,CHIS_island_report_1995_07.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Anacapa,Rec Visitors Ashore,2383,,0,11910,,0,11910,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Anacapa,Overnight Stays,240,,0,927,,0,927,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Santa Barbara,Rec Visitors Ashore,381,,0,1179,,0,1179,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Santa Barbara,Overnight Stays,76,,0,285,,0,285,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,San Miguel,Rec Visitors Ashore,287,,0,1050,,0,1050,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,San Miguel,Overnight Stays,142,,0,430,,0,430,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Santa Cruz,Rec Visitors Ashore,1360,,0,6614,,0,6614,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Santa Cruz,Overnight Stays,370,,0,1496,,0,1496,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Isthmus,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Isthmus,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Santa Rosa,Rec Visitors Ashore,418,,0,1860,,0,1860,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-08-01,1995,8,Santa Rosa,Overnight Stays,108,,0,1006,,0,1006,island,CHIS_island_report_1995_08.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Anacapa,Rec Visitors Ashore,1120,,0,13030,,0,13030,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Anacapa,Overnight Stays,129,,0,1056,,0,1056,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Santa Barbara,Rec Visitors Ashore,209,,0,1388,,0,1388,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Santa Barbara,Overnight Stays,56,,0,341,,0,341,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,San Miguel,Rec Visitors Ashore,271,,0,1321,,0,1321,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,San Miguel,Overnight Stays,82,,0,512,,0,512,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Santa Cruz,Rec Visitors Ashore,1060,,0,7674,,0,7674,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Santa Cruz,Overnight Stays,264,,0,1760,,0,1760,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Isthmus,Rec Visitors Ashore,0,,0,0,,0,0,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Isthmus,Overnight Stays,0,,0,0,,0,0,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Santa Rosa,Rec Visitors Ashore,331,,0,2191,,0,2191,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-09-01,1995,9,Santa Rosa,Overnight Stays,206,,0,1212,,0,1212,island,CHIS_island_report_1995_09.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-10-01,1995,10,Anacapa,Rec Visitors Ashore,901,,0,13931,,0,901,island,CHIS_island_report_1995_10.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-10-01,1995,10,Anacapa,Overnight Stays,135,,0,1191,,0,135,island,CHIS_island_report_1995_10.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
CHIS,1995-10-01,1995,10,Santa Barbara,Rec Visitors Ashore,67,,0,1455,,0,67,island,CHIS_island_report_1995_10.csv,https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Park%20YTD%20Version%203?Park=CHIS
